Borough,Name,Website,Location,Citymap Location,Site Type,Container Type,Materials Accepted,NYC Compost
BK,Floral Vineyard Community Garden,,"2381 Pitkin Avenue, 11207","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1016282,184768&c=GISBasic&s=a:2381,PITKIN+AVENUE,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bins","leaves, garden trimmings, food scraps",no
BK,Floyd Bennett Gardens Association (FBGA),http://www.fbga.net,"1 Floyd Bennet Field, 11234","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1014584,152531&c=GISBasic&s=p:FLOYD+BENNETT+FIELD,BROOKLYN",Community Garden,"2 or 3 bin, open pile/bin, enclosed bins","leaves, garden trimmings, food scraps",yes
BK,Garden of Union,,"634-36 Union Street, 11215","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=989087,185913&c=GISBasic&s=a:634,UNION+STREET,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bins",food scraps,yes
BK,Granja Los Colibries Community Garden,http://www.la-union.org,"219 34th Street, 11220","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=983761,177837&c=GISBasic&s=a:219,34+STREET,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Greene Acres Community Garden,http://greeneacres.interactivist.net/,"Corner of Greene Avenue and Franklin Avenue, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=996179,189838&c=GISBasic&s=i:GREENE+AVENUE,FRANKLIN+AVENUE,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bins","leaves, garden trimmings, food scraps",no
BK,Immani 2 Community Garden,,"1680 Pacific Street, 11213","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002843,185759&c=GISBasic&s=a:1680,PACIFIC+STREET,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps, horse manure",no
BK,Jane Bailey Community Garden,,"325 Greene Avenue, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=995715,189853&c=GISBasic&s=a:325,GREENE+AVENUE,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Java Street Garden,http://javastreetgarden.tumblr.com/,"59 Java Street, 11222","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=995664,205757&c=GISBasic&s=a:59,JAVA+STREET,BROOKLYN",Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
BK,Jefferson Street Garden,,"321 Jefferson Street, 11237","http://gis.nyc.gov/doitt/nycitymap/?z=10&p=1004750,196082&c=GISBasic&s=a:321,JEFFERSON+STREET,BROOKLYN",Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
BK,Mama Dees Community Garden,,"Dean Street, between Bedford Avenue and Rogers Avenue, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997376,185939&c=GISBasic&s=i:DEAN+STREET,BEDFORD+AVENUE,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bins, open pile","leaves, garden trimmings, food scraps",no
BK,Old Stone House,http://www.theoldstonehouse.org,"336 3rd Street, 11215","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=988517,184464&c=GISBasic&s=a:336,3+STREET,BROOKLYN",Community Garden,"enclosed bin, 2 or 3 bin","leaves, garden trimmings, food scraps",no
BK,Powell Street Community Garden,,"Livonia Avenue between Powell Street and Junius Street, 11212",http://mashcode.github.io/NYCompost/#,Community Garden,"enclosed bin, 2 or 3 bin","leaves, garden trimmings",no
BK,Prospect Farm,http://www.facebook.com/ProspectFarmBK,"1194 Prospect Avenue, 11218","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=990738,177621&c=GISBasic&s=a:1194,PROSPECT+AVENUE,BROOKLYN",Community Garden,"enclosed bin, 2 or 3 bin, trench composting","leaves, garden trimmings, food scraps",no
